"estimator","n","d","direct_elapsed","sparse_elapsed","speedup_sparse_vs_direct","occupancy_rate","nominal_stencil","direct_visited_median","sparse_visited_median","prefix_nodes_median","visited_ratio_median","prefix_ratio_median","max_abs_error"
"LBFP",250,6,0.283,0.122,2.31967213114754,0.00354308390022676,64,5,5,60,0.078125,0.9375,4.33680868994202e-19
"LBFP",500,2,0.0189999999999984,0.0210000000000008,0.904761904761792,0.53,4,4,4,6,1,1.5,2.77555756156289e-17
"LBFP",500,3,0.0999999999999943,0.0459999999999994,2.17391304347817,0.182441700960219,8,7,7,14,0.875,1.75,1.38777878078145e-17
"LBFP",500,4,0.207999999999998,0.143999999999998,1.44444444444445,0.0800382653061224,16,9,9,28,0.5625,1.75,5.20417042793042e-18
"LBFP",500,5,0.424,0.274000000000001,1.54744525547445,0.0207118561710398,32,9,9,50,0.28125,1.5625,3.46944695195361e-18
"LBFP",500,6,0.983999999999995,0.397999999999996,2.47236180904524,0.0042541798060332,64,6,6,68,0.09375,1.0625,4.33680868994202e-19
"LBFP",1000,2,0.046999999999997,0.0459999999999923,1.02173913043489,0.465277777777778,4,4,4,6,1,1.5,0
"LBFP",1000,3,0.104000000000013,0.11099999999999,0.936936936937142,0.246913580246914,8,8,8,14,1,1.75,1.38777878078145e-17
"LBFP",1000,4,0.400000000000006,0.360000000000014,1.11111111111108,0.0825617283950617,16,11,11,30,0.6875,1.875,5.20417042793042e-18
"LBFP",1000,5,0.869,0.719999999999999,1.20694444444445,0.017498897707231,32,11,11,54,0.34375,1.6875,1.73472347597681e-18
"LBFP",1000,6,2.18200000000002,1.12799999999999,1.93439716312061,0.00450983965014577,64,9,9,80,0.140625,1.25,6.50521303491303e-19
"LBFP",2000,2,0.100999999999999,0.0989999999999895,1.02020202020212,0.527472527472527,4,4,4,6,1,1.5,4.16333634234434e-17
"LBFP",2000,3,0.403999999999996,0.395999999999958,1.02020202020212,0.264462809917355,8,8,8,14,1,1.75,2.08166817117217e-17
"LBFP",2000,4,1.02699999999999,0.882999999999981,1.16308040770103,0.0653636363636364,16,13,13,30,0.8125,1.875,6.93889390390723e-18
"LBFP",2000,5,1.98000000000002,1.64300000000003,1.20511259890443,0.0215096784026825,32,14,14,56,0.4375,1.75,3.46944695195361e-18
"LBFP",2000,6,5.04399999999998,3.39200000000005,1.48702830188676,0.00403217163923182,64,12,12,90,0.1875,1.40625,8.67361737988404e-19
